ean,pasillo,rubro,subrubro,descripcion,marca,imagen_url,nombre_supertop
7622201448325,Alimentos,"Chocolates, Alfajores y Golosinas",Golosinas,CHICLE BELDENT INFINIT BLUEBERRY X 7UN,Beldent,https://supertopar.vteximg.com.br/arquivos/ids/160837/164134.jpg,Chicle Beldent Infinit Blueberry x 7un
7622201503963,Alimentos,Galletas y Tostadas,Galletitas Dulcesy Magdalenas,GALLETITAS VARIEDAD DORADA X 300GR,Terrabusi,https://supertopar.vteximg.com.br/arquivos/ids/165410/169936.jpg,Galletitas Variedad Dorada x 300gr
7622201703202,Bebidas,Jugos,Jugo en Polvo,JUGO CLIGHT PERA X 7GR,Clight,https://supertopar.vteximg.com.br/arquivos/ids/156813/316330.jpg,Jugo Clight Pera x 7gr
7622201705077,Alimentos,Producción deRepositeria-Panaderia,Postres y Helados,POSTRE ROYAL LIGHT VAINILLA X 43GR,Royal,https://supertopar.vteximg.com.br/arquivos/ids/160247/134190.jpg,Postre Royal Light Vainilla x 43gr
7622201733834,Bebidas,Jugos,Jugo en Polvo,JUGO CLIGHT LIMON MARACUYA X 7GR,Clight,https://supertopar.vteximg.com.br/arquivos/ids/156816/316353.jpg,Jugo Clight Limon Maracuya x 7gr
7622201740368,Alimentos,"Chocolates, Alfajores y Golosinas",Chocolates,OREOS BAÑADAS CHOCOLATE X 119GR,Oreo,https://supertopar.vteximg.com.br/arquivos/ids/161007/169976.jpg,Oreos Bañadas Chocolate x 119gr
7622201745523,Alimentos,Galletas y Tostadas,Galletitas Dulces y Magdalenas,galletitas lincoln clasicas x 153gr,Lincoln,https://supertopar.vteximg.com.br/arquivos/ids/165525/169971.jpg,Galletitas Lincoln Clasicas x 153gr
7622201745707,Bebidas,Jugos,Jugo en Polvo,JUGO TANG NARANJA DURAZNO X 15GR,Tang,https://supertopar.vteximg.com.br/arquivos/ids/158192/316344.jpg,Jugo Tang Naranja Durazno x 15gr
7622201745738,Bebidas,Jugos,Jugo en Polvo,JUGO TANG PERA X 15GR,Tang,https://supertopar.vteximg.com.br/arquivos/ids/158191/316343.jpg,Jugo Tang Pera x 15gr
7622201745936,Bebidas,Jugos,Jugo en Polvo,JUGO TANG DURAZNO X 15GR,Tang,https://supertopar.vteximg.com.br/arquivos/ids/158324/316348.jpg,Jugo Tang Durazno x 15gr
7622201746018,Bebidas,Jugos,Jugo en Polvo,JUGO TANG MIX NARANJA LIMA X 15GR,Tang,https://supertopar.vteximg.com.br/arquivos/ids/158319/316342.jpg,Jugo Tang Mix Naranja Lima x 15gr
7622201753061,Alimentos,Galletas y Tostadas,Tostadas y Grisines,GALLETITAS CEREALITAS ARROZ X 160GR,Cerealitas,https://supertopar.vteximg.com.br/arquivos/ids/161152/168378.jpg,Galletitas Cerealitas Arroz x 160gr
7622201806668,Alimentos,Producción de Repositeria-Panaderia,Bizcochuelos,BIZCOCHUELO ROYAL CHOCOLATE X 500GR,Royal,https://supertopar.vteximg.com.br/arquivos/ids/159520/108183.jpg,Bizcochuelo Royal Chocolate x 500gr
7622201807405,Alimentos,"Chocolates, Alfajores y Golosinas",Chocolates,CHOCOLATE CADBURY ALMENDRAS X 82GR,Cadbury,https://supertopar.vteximg.com.br/arquivos/ids/160963/165767.jpg,Chocolate Cadbury Almendras x 82gr
7622201812676,Alimentos,Productos de Estación,Turrones,POSTRE MANTECOL MARMOLADO X 111GR,Mantecol,https://supertopar.vteximg.com.br/arquivos/ids/163635/165696.jpg,Postre Mantecol Marmolado x 111gr
7622201812690,Alimentos,Productos de Estación,Turrones,POSTRE MANTECOL CLASICO X 253GR,Mantecol,https://supertopar.vteximg.com.br/arquivos/ids/163637/165716.jpg,Postre Mantecol Clasico x 253gr
7622201812744,Alimentos,"Chocolates, Alfajores yGolosinas",Chocolates,CHOCOLATE MILKA LEGER LECHE X 110GR,Milka,https://supertopar.vteximg.com.br/arquivos/ids/160951/165735.jpg,Chocolate Milka Leger Leche x 110gr
7622201812775,Alimentos,"Chocolates, Alfajoresy Golosinas",Chocolates,CHOCOLATE MILKA LEGER COMBINADO X 110GR,Milka,https://supertopar.vteximg.com.br/arquivos/ids/160945/165727.jpg,Chocolate Milka Leger Combinado x 110gr
7622201818937,Alimentos,"Chocolates, Alfajoresy Golosinas",Chocolates,CHOCOLATE MILKA LEGER LECHE X 50GR,Milka,https://supertopar.vteximg.com.br/arquivos/ids/160948/165732.jpg,Chocolate Milka Leger Leche x 50gr
7622201818951,Alimentos,"Chocolates, Alfajoresy Golosinas",Chocolates,CHOCOLATE MILKA LEGER COMBINADO X 50GR,Milka,https://supertopar.vteximg.com.br/arquivos/ids/160949/165733.jpg,Chocolate Milka Leger Combinado x 50gr
7622201819620,Alimentos,Producción de Repositeria-Panaderia,Flanes y Gelatinas,GELATINA ROYAL FRUTILLA X 25GR,Royal,https://supertopar.vteximg.com.br/arquivos/ids/160077/125288.jpg,Gelatina Royal Frutilla x 25gr
7622201819668,Alimentos,Producción de Repositeria-Panaderia,Flanes y Gelatinas,GELATINA ROYAL FRAMBUESA X 25GR,Royal,https://supertopar.vteximg.com.br/arquivos/ids/160078/125289.jpg,Gelatina Royal Frambuesa x 25gr
7622201819699,Alimentos,Producción de Repositeria-Panaderia,Flanes y Gelatinas,GELATINA ROYAL CEREZA X 25GR,Royal,https://supertopar.vteximg.com.br/arquivos/ids/160079/125290.jpg,Gelatina Royal Cereza x 25gr
7622201819736,Alimentos,Producción de Repositeria-Panaderia,Flanes y Gelatinas,GELATINA ROYAL LIGHT CEREZA X 25GR,Royal,https://supertopar.vteximg.com.br/arquivos/ids/160080/125291.jpg,Gelatina Royal Light Cereza x 25gr
7622201820473,Alimentos,Producción de Repositeria-Panaderia,Flanes y Gelatinas,GELATINA ROYAL NARANJA X 22GR,Royal,https://supertopar.vteximg.com.br/arquivos/ids/160081/125292.jpg,Gelatina Royal Naranja x 22gr
7622201820565,Alimentos,Producción de Repositeria-Panaderia,Flanes y Gelatinas,GELATINA ROYAL LIGHTFRUTOS ROJOS X 25GR,Royal,https://supertopar.vteximg.com.br/arquivos/ids/160082/125294.jpg,Gelatina Royal Light Frutos Rojos x 25gr
7622202049033,Alimentos,Galletas y Tostadas,Galletitas Dulces y Magdalenas,GALLETITAS OREO CHOCOLATE X 118GR,Oreo,https://supertopar.vteximg.com.br/arquivos/ids/161210/169283.jpg,Galletitas Oreo Chocolate x 118gr
7622202049057,Alimentos,Galletas y Tostadas,Galletitas Dulces y Magdalenas,GALLETITAS OREO MILKSHAKE FRUTILLA X 118GR,Oreo,https://supertopar.vteximg.com.br/arquivos/ids/161209/169262.jpg,Galletitas Oreo Milkshake Frutilla x 118gr
7622202210075,Alimentos,Galletas y Tostadas,Galletitas Dulces y Magdalenas,GALLETITAS MILKA MOUSSE CHOCOLATE X 124GR,Milka,https://supertopar.vteximg.com.br/arquivos/ids/161218/169321.jpg,Galletitas Milka Mousse Chocolate x 124gr
7622202216473,Alimentos,"Chocolates, Alfajores y Golosinas",Golosinas,CARAMELO BUBBALOO BLUEBERRY X 82GR,Bubbaloo,https://supertopar.vteximg.com.br/arquivos/ids/160847/164155.jpg,Caramelo Bubbaloo Blueberry x 82gr
7622202216510,Alimentos,"Chocolates, Alfajores y Golosinas",Golosinas,CARAMELO BUBBALOO FRUTILLA X82GR,Bubbaloo,https://supertopar.vteximg.com.br/arquivos/ids/160848/164156.jpg,Caramelo Bubbaloo Frutilla x 82gr
7622202220074,Alimentos,"Chocolates, Alfajores y Golosinas",Obleas,MINI ALFAJORES MILKA MOUSSE X 114GR,Milka,https://supertopar.vteximg.com.br/arquivos/ids/160989/165835.jpg,Mini Alfajores Milka Mousse x 114gr
7622202223372,Alimentos,"Chocolates, Alfajores y Golosinas",Obleas,MINI ALFAJORES SHOT X 114GR,Shot,https://supertopar.vteximg.com.br/arquivos/ids/160990/165836.jpg,Mini Alfajores Shot x 114gr
7622202241505,Alimentos,Galletas y Tostadas,Galletitas Dulces y Magdalenas,GALLETITAS CEREALITAS AVENA CACAO X 170GR,Cerealitas,https://supertopar.vteximg.com.br/arquivos/ids/161180/168407.jpg,Galletitas Cerealitas Avena Cacaox 170gr
7622202247286,Alimentos,"Chocolates, Alfajores y Golosinas",Golosinas,CARAMELO HALLS CHERRY X 25GR,Halls,https://supertopar.vteximg.com.br/arquivos/ids/160854/164164.jpg,Caramelo Halls Cherry x 25gr
7622202271267,Alimentos,"Chocolates, Alfajores y Golosinas",Golosinas,CARAMELO HALLS EXTRA STRONG X 25GR,Halls,https://supertopar.vteximg.com.br/arquivos/ids/161661/164169.jpg,Caramelo Halls Extra Strong x 25gr
7622202273131,Alimentos,"Chocolates, Alfajores y Golosinas",Golosinas,CHICLE BELDENT TROPICAL MIX X 10GR,Beldent,https://supertopar.vteximg.com.br/arquivos/ids/160857/164168.jpg,Chicle Beldent Tropical Mix x 10gr
7622202399107,Alimentos,"Chocolates, Alfajores y Golosinas",Chocolates,BOMBON MILKA OREO X 209GR,Milka Oreo,https://supertopar.vteximg.com.br/arquivos/ids/160993/165841.jpg,Bombon Milka Oreo x 209gr
7622210691835,Alimentos,Galletas y Tostadas,Galletitas Saladas,GALLETITAS CLUB SOCIAL JAMON X 141GR,Club Social,https://supertopar.vteximg.com.br/arquivos/ids/161137/168274.jpg,Galletitas Club Social Jamon x 141gr
7622210745583,Alimentos,"Chocolates, Alfajores y Golosinas",Chocolates,CHOCOLATE MILKA BLANCO X 55GR,Milka,https://supertopar.vteximg.com.br/arquivos/ids/160953/165737.jpg,Chocolate MilkaBlanco x 55gr
7622210788207,Alimentos,"Chocolates, Alfajores y Golosinas",Obleas,OBLEA MILKA BIS X 105GR,Milka,https://supertopar.vteximg.com.br/arquivos/ids/161001/166200.jpg,Oblea Milka Bis x 105gr
7622300742676,Alimentos,Galletas y Tostadas,Galletitas Dulces y Magdalenas,GALLETITAS LINCOLN CHOCOLATE X 153GR,Lincoln,https://supertopar.vteximg.com.br/arquivos/ids/161211/169285.jpg,Galletitas Lincoln Chocolate x 153gr
7622300742713,Alimentos,Galletas y Tostadas,Galletitas Dulces y Magdalenas,GALLETITAS LINCOLNCOCO X 153GR,Lincoln,https://supertopar.vteximg.com.br/arquivos/ids/161213/169298.jpg,Galletitas Lincoln Coco x 153gr
7622300742935,Alimentos,"Chocolates, Alfajores y Golosinas",Obleas,OBLEA RHODESIA X 4UN,Rhodesia,https://supertopar.vteximg.com.br/arquivos/ids/161002/169294.jpg,Oblea Rhodesia x 4un
7622300844943,Alimentos,"Chocolates, Alfajores y Golosinas",Chocolates,CHOCOLATE MILKA RELLENO DULCE DE LECHE X 67GR,Milka,https://supertopar.vteximg.com.br/arquivos/ids/160889/165355.jpg,Chocolate Milka Relleno Dulce de Leche x 67gr
7622300871949,Alimentos,Producción de Repositeria-Panaderia,Postres y Helados,POSTRE ROYAL DULCE DE LECHE X 75GR,Royal,https://supertopar.vteximg.com.br/arquivos/ids/160225/134144.jpg,Postre Royal Dulce de Leche x 75gr
7622300990152,Alimentos,"Chocolates, Alfajores y Golosinas",Chocolates,CHOCOLATE MILKA ALMENDRAS X 155GR,Milka,https://supertopar.vteximg.com.br/arquivos/ids/160911/165559.jpg,Chocolate Milka Almendras x 155gr
7622300990183,Alimentos,"Chocolates, Alfajores y Golosinas",Chocolates,CHOCOLATE MILKA CASTANAS X 155GR,Milka,https://supertopar.vteximg.com.br/arquivos/ids/160907/165514.jpg,Chocolate Milka Castanas x 155gr
763571733462,Alimentos,Sal y Especies,Sal,SAL BUCKINGHAM GRUESAMARINA X 225GR,Buckingham,https://supertopar.vteximg.com.br/arquivos/ids/161733/136106.jpg,Sal Buckingham GruesaMarina x 225gr
763571733479,Alimentos,Sal y Especies,Sal,SAL BUCKINGHAM FINA MARINA X 215GR,Buckingham,https://supertopar.vteximg.com.br/arquivos/ids/161732/136105.jpg,Sal Buckingham Fina Marina x 215gr
763571871010,Alimentos,Infusiones,Yerba Mate,YERBA DON BASILIO SUAVE X 500GR,Don Basilio,https://supertopar.vteximg.com.br/arquivos/ids/163514/141509.jpg,Yerba Don Basilio Suave x 500gr
76625211978,Alimentos,Galletas y Tostadas,Tostadas y Grisines,GALLETAS ARROZ RISKY DIT DULCES CON SEMILLAS X 90GR,Risky-Dit,https://supertopar.vteximg.com.br/arquivos/ids/164622/176145.jpg,Galletas Arroz Risky Dit Dulcescon Semillas x 90gr
76625211985,Alimentos,Galletas y Tostadas,Tostadas y Grisines,GALLETAS ARROZ RISKY DIT SEMILLAS SIN SAL X 90GR,Risky-Dit,https://supertopar.vteximg.com.br/arquivos/ids/164620/176144.jpg,Galletas Arroz Risky Dit Semillas Sin Sal x 90gr
76625211992,Alimentos,Galletas y Tostadas,Tostadas y Grisines,GALLETAS ARROZ RISKY DIT SEMILLAS X 90GR,Risky-Dit,https://supertopar.vteximg.com.br/arquivos/ids/164618/176143.jpg,Galletas Arroz Risky Dit Semillas x 90gr
76625212005,Alimentos,Galletas y Tostadas,Tostadas yGrisines,GALLETAS ARROZ RISKY DIT DULCES X 100GR,Risky-Dit,https://supertopar.vteximg.com.br/arquivos/ids/164612/176140.jpg,Galletas Arroz Risky Dit Dulces x 100gr
76625212012,Alimentos,Galletas yTostadas,Tostadas y Grisines,GALLETAS ARROZ RISKY DIT SIN SAL X 100GR,Risky-Dit,https://supertopar.vteximg.com.br/arquivos/ids/164614/176141.jpg,Galletas Arroz Risky Dit Sin Sal x 100gr
76625212029,Alimentos,Galletas y Tostadas,Tostadas y Grisines,GALLETAS ARROZ RISKY DIT SALADAS X 100GR,Risky-Dit,https://supertopar.vteximg.com.br/arquivos/ids/164610/176139.jpg,Galletas Arroz Risky Dit Saladas x 100gr
76625212036,Alimentos,Galletas y Tostadas,Tostadas y Grisines,TOSTADAS RISKY DIT MINI'S SEMILLAS X 100GR,Risky-Dit,https://supertopar.vteximg.com.br/arquivos/ids/164608/176091.jpg,Tostadas Risky Dit Mini's Semillas x 100gr
76625212050,Alimentos,Galletas y Tostadas,Tostadas yGrisines,TOSTADAS ARROZ RISKY DIT DULCES X 150GR,Risky-Dit,https://supertopar.vteximg.com.br/arquivos/ids/164604/176086.jpg,Tostadas Arroz Risky Dit Dulces x 150gr
76625212067,Alimentos,Galletas yTostadas,Tostadas y Grisines,TOSTADAS ARROZ RISKY DIT SIN SAL X 150GR,Risky-Dit,https://supertopar.vteximg.com.br/arquivos/ids/164603/176085.jpg,Tostadas Arroz Risky Dit Sin Sal x 150gr
76625233031,Alimentos,Copetin,Snack Saludable,SNACK DE ARROZ RISKY DIT JAMON X 50GR,Risky-Dit,https://supertopar.vteximg.com.br/arquivos/ids/164359/117738.jpg,Snack de Arroz Risky Dit Jamon x 50gr
76625233048,Alimentos,Copetin,Snack Saludable,SNACK DE ARROZ RISKY DIT QUESO X 50GR,Risky-Dit,https://supertopar.vteximg.com.br/arquivos/ids/164358/117737.jpg,Snack de Arroz Risky Dit Queso x 50gr
7702010630422,Perfumeria,Cuidado Oral,Cepillo de Dientes e Hilo Dental,CEPILLOS COLGATE EXTRA CLEAN MEDIO X 2UN,Colgate,https://supertopar.vteximg.com.br/arquivos/ids/158484/519016.jpg,Cepillos Colgate Extra Clean Medio x 2un
