"ean","nombre"
"7791720038062","Papas Fritas Jamon Carrefour Classic Tubo x 140grs"
"7798004241316","Biscuit Bolsa Cristal x 142 Grs"
"7791293049021","Mascara Capilar 1 Min Rit Crecimiento Dove X300grs"
"7793890261462","Pan Salvado Fargo Bolsa x 390 Grs"
"7509552902860","Acondicionador Nutri Liss Kera Liso Elvive x 400cc"
"7790613071520","Cera Pasta Natural Suiza Lata x 450 Cc"
"2508844000005","Banana Selecci N x Kg"
"7891000249833","Capsulas Cafe Expresso Dolce Gusto x 10 Uni"
"7791720038215","Bizcochos Dulces de Hojaldre Batata Bulnez 200 Grs"
"7791843009130","Vino Tinto Malbec Estate x 750 Cc"
"7798028890231","Arco de Futbol 5 1.80 x 1.60 x"
"7798161649475","Velas de Corte Iluminarte Cortas X4"
"8680550970170","Jarro Mug Keramika 10 Cm Organic Gris Oscuro T25"
"7791337007314","Yogur Ent Frutilla Yogurisimo Cremix x 120 Grs"
"7790070418449","Bizcochos Arroz Dulce Tortita Negra Gallo x 100 Gr"
"7795208032429","Masa Tipo Slime Duo Colores Fluo"
"7790770601875","Protector Nosotras Multiestilo C Calendula x 20u"
"77915818","Barra de Cereal Manzana Light Cereal Mix x 23 G"
"7790400926798","Adhesivo en Barra Unipox Stick 10g X1"
"7791058002445","Flan Sin Huevo Vainilla Manfrey Pote x 1 u"
"7791720039311","Milanesas de Soja Carrefour Classic x 360 Gr"
"7790990002834","Jabon Liq Diluible Ariel Bot x 500 Cc"
"7791720037966","Jabon Liq Hipoalergen Carrefour My Baby Bot X250cc"
"7793147572327","Cerveza Blanca Salta Cautiva Lata x 473 Cc"
"7791969001032","Antitransp Aero Black White Nivea Men x 150 Cc"
"7791293049472","Antitranspirante Men Fanaticos Rexona Aero x 150cc"
"7791540053351","Vino Tinto Termidor 2021 Tetra x 1 Lt"
"7790520993076","Autobrillo Incoloro Ceramicol Botella x 800 Cc"
"7793147573195","Cerveza Blanca Blegian Blue Moon Lata x 473 Cc"
"7791720032855","Picadillo de Carne Carrefour Classic x 90 Grs"
"7798033332634","Vinagre de Manzana Carrefour Pet x 500 Cc"
"7319470066793","Bloqueador Solar Shine Control F50 Nivea Sun X50cc"
"7793742008283","Emulsion Corp Piel Diabetico Dermaglos x 300 Cc"
"7791720024058","Galletitas Multicereal C Ave +pasas Carrefour X186"
"7790139003265","Vinagre de Manzana Clasico Casalta Pet x 1 Lt"
"7791720044391","Galletitas Ave Lim Jeng Carrefour Extra x 120 Gr"
"7896050200759","Cachaca Velho Barreiro Gold x 910cc"
"7793344000890","Panuelos Descartables Largos Elegante x 100 u"
"7790520025845","Tabletas Mata Moscas Mosquitos Fuyi x 24 Uni"
"7891000379028","Tableta Chocolate Blanco Kit Kat x 41.5 Grs"
"4710268251477","Mouse C Cable Usb Genius Dx 110 Black"
"7791720042311","Galletas Arroz Saladas Carrefour Classic x 100 Grs"
"7500435147583","Aco Hidratacion Coco Head Shoulders x 300 Cc"
"7791337008564","Yogur Vainilla Calci+ Ser Vit K2 Pote x 120 Grs"
"7792180144959","Premezcla Bizco Vaini Mama Cocina x 540 Grs"
"2507464000006","Cuarto Trasero Cristal x Kg"
"7790070764034","Aperitivo Cocktail C Alc Sangria Emilia Bot x 750c"
"798302231610","Mouse Bluetooth Xtech Marvel Avengers Capit N Am R"
"7790895000997","Gaseosa Cola Regular Coca Cola Pet x 2.25 Lt"
"8410435841031","Guante Vileda Grande Style"
"7798159718985","Papel Higienico H Simple Carrefour 4 x 80 Mts"
"2507520000001","Queso Provoleta Parrillera Trozado Santa Rosa"
"7790950142921","Aperitivo C Alcohol Gancia C Lima Limon x 473 Cc"
"4005900130785","Antitranspirante Rollon Prtc Care Nivea x 50 Cc"
"7791473000835","Budin Europeo Chocolate x 300 Gr."
"7791866001364","Mayonesa Natura Doy Pack x 500 Cc"
"7798136042324","Aromatizador Freshline Pulgi T I"
"7797087510340","Aire Split Surrey 3430w 553gfq1201f"
"7795513107102","Medallon de Soja y Choclo Veggieland 4 Unid"
"2509053000008","Bife de Chorizo Novillito (e)"
"7798104971984","Pirotines Grandes Decorados 50 Un"
"7790950134100","Aperitivo C Alcohol Lemon Dr Lemon Bot x 1 Lt"
"7798181641510","Leche en Polvo Advanced Etapa 1 Sancor Bebe x 800g"
"7795513177594","Lapices Colores Filgo Pinto Borrables X12"
"7794903232202","Galletitas S Tacc de Miel Yuka x 150 Grs"
"7791337008489","Postre Vainilla con Chocobombas Serenito x 118 Grs"
"3616474666665","Silla Plegable Carrefour Home Film"
"7790520992949","Cera Liq Brillo Incoloro Blem Botella x 800 Cc"
"7790040137837","Galletitas Vainilla Livianas Mana x 136 Grs"
"7790310983256","Mini Tostaditas Jamon Iberico Twistos x 95 Grs"
"7790189042023","Vino Tinto Malbec Reserva Don David x 750 Cc"
"7790070336057","Fideos Guiseros Tirabuzon 3 Veg Lucchetti x 500 Gr"
"793276084408","Parlante Port Til Alpine 40w Adspk1"
"3253922160018","Cesto Acero Curver 5 L"
"7791720019221","Toallitas Humedas My Baby Carrefour Fp x 30 u"
"2695890000001","Bolsa de Residuos Bulnez 60x90cm Plana X10"
"7790240096804","Vino Blanco Chardonay Medalla Trapiche X750cc"
"7798310270079","Granola Coco y Arandanos Kuati x 400 Grs"
"7798181641534","Leche Polvo Inf Et3 Advan Sancor Bebe Brik X800grs"
"7798088960073","Mermelada de Naranja Inglesa el Brocal Frasco 420g"
"25700712008","Bolsa Ziploc Llevar Chica X14"
"7790895647611","Agua de Mesa con Gas Benedictino x 500 Cc"
"7793344904143","Papel Higienico H Simple Elegante 4 x 30 Mts"
"7891000248799","Tableta de Chocolate Rellena Kit Kat x 41.5 Gr"
"41789001840","Fideos con Pollo Picante Maruchan Vaso x 64 Grs"
"3615004514896","Cargador Celular Poss 5w Blanco Pswc 1awh 18"
"7791720036976","Yerba Mate C Palo Suave Carrefour Classic x 500g"
"77958228","Cubanito Relleno de Avellana Repop Lulemuu x 15gr"
"7790314080159","Vino Tinto Malbec Estancia Mendoza Bot x 750 Cc"
"7891150081239","Antitranspirante Aero Mujer Original Dove x 250 Cc"
"3616957567670","Pantalon 5 Bolsillo Twill Tex 936280"
"7791720032725","Edulcorante Clasico Bulnez Sobres x 100 Uni"
"7790580129279","Pure Tomate Arcor Tetra x 210 Grs"
"7790387013627","Yerba Mate C Palo Orig Control Taragui x 500 G"
"7790240094459","Vino Tinto Malbec Reserva Trapiche x 750 Cc"
"7861002901831","Pastillas Sabor Menta Tic Tac x 49 Grs"
"7793360130014","Salsa Bolognesa Arcor Doypack x 340 Grs"
"7796384061685","Juego de Sabanas Pinata 1 1 2 Pl Licencia"
"7790070933638","Infusion a Base de Cafe Arlistan Pet x 170 Grs"
"7790240107500","Vino Tinto Cab Sauv Trapiche Alaris x 750 Cc."
"7790236018346","Tapa P Empanada Horno la Saltena x 22 Uni"
"7798082744518","Galletitas Crackers Tia Maruca 3 x 106 Grs"
"7798101910214","Algodon Ejemplar x 140 Grs"
"7798001880464","Grasa Vacuna Esani Sachet x 500 Grs"
"7798159715908","Lavavajilla Cremoso C Aloe Vera Carrefour x 1.25 L"
"7790150570371","Provenzal Alicante Sobre x 50 Grs"
"7794218000176","Jabon Tocador Briza Primaveral St Tropez x 3 Uni"
"7790895003950","Agua Mineral con Gas Bonaqua Pet x 1.5 Lt"
"7790387001419","Te Silvestre Boldo Taragui x 20 Uni"
"7790520999436","Mata Cucarachas y Aranas Baygon Aerosol x 300 Cc"
"7791231109060","Hermetico Carrefour Rectangular Alto 1.4l"
"7793913013733","Yogur Descremado Anana Tregar Pote x 160 Grm"
"7794000004917","Saborizador Carne Horno Ajo Ceb Knorr Sobre x 21 G"
"7798036830168","Galletitas Dulces Banadas Celosas x 110 Grs"
"7790310985434","Papas Fritas Jamon Serrano Lays x 77 Grs"
"727373150131","Alfajor Chocolate Blanco Felices las Vacas x 60 Gr"
"8719128118734","Cilindro Co2 Sodrastream Rosa"
"7891155068952","Jarra Tropicana 1.75 Lts"
"7791720032534","Ravioles Pollo y Verdura Bulnez Fp x 1kg"
"8445291169722","Leche Chocolat Menos Az Cocoa Plan Nesquik x 200cc"
"7798343751132","Granola Clasica Integra 350 x Grs"
"7790314080142","Vino Tinto Blend Iii Canciller Bot x 1125 Cc"
"2509068000000","Queso la Serenisima Parmesano Fraccionado x Kg."
"7791720029978","Gaseosa Light Pomelo Carrefour Classic Pet X2.25lt"
"3616473131690","Valija de Tela 77x48x35cm Crfod140416"
"7799186002900","Buzo Amplio Rustico Tex Dm"
"7798160620383","Escobillas Iael 24 x 2 Unid"
"7798034448020","Bandeja para Pintor"
"7791720040287","Limp P Diluir Piso Lavanda Ecoplanet 150 Cc"
"7791337008694","Yogur Bebible Frutilla Danonino X185 Grs"
"7798120730930","Piedras Sanitarias The Best Bolsa 3.6kg"
"7791293046877","Jabon Tocador Antibac Aloe Rexona x 90 Grs"
"7792590001491","Pref.librito D Leche Cj.x 96 Uds"
"7791274197864","Tratam Capilar Barro Veget Argan Algabo x 200gr"
"53891174626","Cafetera Oster Filtro Programable Silver Jarra T R"
