ean,pasillo,rubro,subrubro,descripcion,marca,imagen_url,nombre_dia
7790250042921,Bebés y Niños,Pañales,Pañales,,BABYSEC,https://ardiaprod.vteximg.com.br/arquivos/ids/347470/Pañales-Babysec-Premium-Soft-XG-48-Ud-_1.jpg?v=638780676730470000,Pañales Babysec Premium Soft XG 48 Ud.
7793253005238,Limpieza,Limpiadores,Multiusos,"Ayudín Desinfectante Multisuperficies es un desinfectante compuesto por Hipoclorito de sodio (1,7%), alcalinizante, surfactante, fragancia y agua. Se aplica sobre Baños, cocina, cuartos y electrónica.",AYUDIN,https://ardiaprod.vteximg.com.br/arquivos/ids/324506/Desinfectante-Multisuperficies-Ayudin-Doypack-450-Ml-_1.jpg?v=638599569421770000,Desinfectante Multisuperficies Ayudín Doypack 450 Ml.
7798123971309,Bebidas,Bodega,Vino Tinto,,PARTRIDGE,https://ardiaprod.vteximg.com.br/arquivos/ids/369195/Vino-Malbec-Partridge-750-Ml-_1.jpg?v=639138305192500000,Vino Malbec Partridge 750 Ml.
7791019000220,Desayuno,Galletitas y Cereales,Cereales,,3 ARROYOS,https://ardiaprod.vteximg.com.br/arquivos/ids/328768/Copos-Azucarados-Tres-Arroyos-500-Gr-_1.jpg?v=638599626480300000,Copos Azucarados Tres Arroyos 500 Gr.
7790580149970,Almacén,Comidas listas,Comidas Elaboradas,,ARCOR,https://ardiaprod.vteximg.com.br/arquivos/ids/372604/Ramen-Sabor-Carne-Arcor-70-Gr-_1.jpg?v=639167681666470000,Ramen Sabor Carne Arcor 70 Gr.
7622201806538,Desayuno,Galletitas y Cereales,Galletitas dulces,"¡Probá las nuevas OREO GOLDEN! Ahora más ricas, suaves y cremosas. Ideales para el desayuno, para merendar en familia, para snackear en el recreo del colegio o en la facultadd o para compartir con amigos. Para mayor información, consultá las calorías y Tabla Nutricional al dorso del empaque.",OREO,https://ardiaprod.vteximg.com.br/arquivos/ids/371862/Galletitas-Oreo-Golden-Sabor-Vainilla-Rellenas-con-Crema-354-Gr-_1.jpg?v=639159903215700000,Galletitas Oreo Golden Sabor Vainilla Rellenas con Crema 354 Gr.
7792180143624,Congelados,Comidas congeladas,Pizzas congeladas,,PIETRO,https://ardiaprod.vteximg.com.br/arquivos/ids/328779/Pizza-Fugazzeta-Pietro-420-Gr_1.jpg?v=638599626656400000,Pizza Fugazzeta Pietro 420 Gr
7798096880554,Frescos,Listos para disfrutar,Sandwiches y Ensaladas,,SUEÑO VERDE,https://ardiaprod.vteximg.com.br/arquivos/ids/319476/Ensalada-Blend-Italiana-Sueño-Verde-250-Gr-_1.jpg?v=638599504653900000,Ensalada Blend Italiana Sueño Verde 250 Gr.
7622202241567,Desayuno,Galletitas y Cereales,Galletitas dulces,"Disfrutá de tus galletitas saludables en el desayuno y en la merienda. ¡Acompañalas con mate, café, té o como más te guste!",CEREALITAS,https://ardiaprod.vteximg.com.br/arquivos/ids/355056/Galletitas-dulces-Cerealitas-Granola-170-Gr-_1.jpg?v=638893885418700000,Galletitas dulces Cerealitas Granola 170 Gr.
7790639003888,Bebidas,Gaseosas,Cola,,CUNNINGTON,https://ardiaprod.vteximg.com.br/arquivos/ids/332106/Gaseosa-Cola-Suave-Cunnington-150-Lt-_1.jpg?v=638616524759900000,"Gaseosa Cola Suave Cunnington 1,50 Lt."
7509546056098,Perfumería,Cuidado Bucal,Pastas de dientes,"Triple Acción* Xtra Blancura con micro-partículas pulidoras para dientes blancos
*Frescura, dientes blancos y protección anticaries
Beneficios:
-Remueve manchas
-Funciona desde el 1er cepillado**
-Blancura natural
-Blancura y protección anticaries para toda tu familia
**Empieza a funcionar desde el primer cepillado para dientes más blancos con cepillado regular
Cepíllese adecuadamente los dientes después de cada comida, tres veces al día por dos minutos. Enjuagar completamente después de cada cepillado
Su uso es recomendable en niños mayores de 6 años. No ingerir. Niños de 6 años y menores: usar una cantidad del tamaño de una gota (0,25G) supervisados por un adulto para minimizar que sea ingerida. En caso de estar recibiendo flúor de otras fuentes consulte un odontólogo o doctor",COLGATE,https://ardiaprod.vteximg.com.br/arquivos/ids/367652/Pasta-Dental-Colgate-Triple-Accion-Extra-Blancura-90-Gr-_1.jpg?v=639117568257100000,Pasta Dental Colgate Triple Acción Extra Blancura 90 Gr.
